iter	Passed	Remaining
369	548	933
370	549	931
371	550	928
372	551	926
373	552	924
374	553	921
375	553	919
376	554	916
377	556	914
378	556	912
379	557	909
380	558	907
381	559	905
382	560	902
383	561	900
384	562	897
385	562	895
386	563	893
387	564	890
388	565	888
389	566	885
390	567	883
391	568	881
392	569	879
393	569	876
394	570	874
395	571	872
396	572	869
397	573	867
398	574	865
399	575	863
400	576	860
401	577	858
402	577	856
403	578	854
404	579	851
405	580	849
406	581	847
407	582	845
408	583	842
409	584	840
410	585	838
411	586	836
412	586	834
413	587	831
414	588	829
415	589	827
416	590	825
417	591	823
418	592	821
419	593	818
420	593	816
421	594	814
422	595	812
423	596	810
424	597	808
425	598	806
426	599	804
427	600	802
428	601	800
429	601	797
430	602	795
431	603	793
432	604	791
433	605	789
434	606	787
435	607	785
436	608	783
437	608	781
438	609	779
439	610	777
440	611	775
441	612	773
442	613	771
443	614	769
444	615	767
445	616	765
446	616	763
447	617	761
448	618	759
449	619	757
450	620	755
451	621	753
452	622	751
453	623	749
454	624	747
455	625	745
456	625	743
457	626	741
458	627	739
459	628	737
460	629	735
461	630	734
462	631	732
463	632	730
464	633	728
465	633	726
466	635	724
467	635	722
468	636	720
469	637	719
470	638	717
471	639	715
472	640	713
473	641	711
474	641	709
475	642	707
476	643	705
477	644	704
478	645	702
479	646	700
480	647	698
481	648	696
482	649	694
483	650	692
484	650	691
485	651	689
486	652	687
487	653	685
488	654	683
489	655	681
490	655	680
491	656	678
492	657	676
493	658	674
494	659	672
495	660	671
496	661	669
497	662	667
498	663	665
499	664	664
500	664	662
501	665	660
502	666	658
503	667	656
504	668	655
505	669	653
506	670	651
507	671	649
508	671	648
509	672	646
510	673	644
511	674	643
512	675	641
513	676	639
514	677	638
515	678	636
516	679	634
517	680	633
518	681	631
519	682	629
520	683	628
521	684	626
522	684	624
523	685	623
524	686	621
525	687	619
526	688	618
527	689	616
528	690	614
529	691	613
530	692	611
531	693	609
532	694	608
533	695	606
534	696	605
535	697	603
536	697	601
537	698	600
538	699	598
539	700	596
540	701	595
541	702	593
542	703	591
543	704	590
544	705	588
545	706	587
546	706	585
547	707	583
548	708	582
549	709	580
550	710	579
551	711	577
552	712	575
553	713	574
554	714	572
555	715	571
556	715	569
557	716	567
558	717	566
559	718	564
560	719	563
561	720	561
562	721	560
563	722	558
564	723	556
565	724	555
566	725	553
567	726	552
568	726	550
569	727	549
570	728	547
571	729	545
572	730	544
573	731	542
574	732	541
575	733	539
576	734	538
577	735	536
578	736	535
579	736	533
580	737	532
581	738	530
582	739	529
583	740	527
584	741	526
585	742	524
586	743	522
587	744	521
588	745	519
589	745	518
590	746	516
591	748	515
592	749	514
593	750	513
594	751	511
595	752	510
596	753	508
597	754	507
598	755	505
599	756	504
600	757	502
601	757	501
602	758	499
603	759	498
604	760	496
605	761	495
606	762	493
607	763	492
608	764	490
609	765	489
610	766	487
611	766	486
612	767	484
613	768	483
614	769	481
615	770	480
616	771	479
617	772	477
618	773	476
619	774	474
620	775	473
621	776	471
622	777	470
623	778	468
624	778	467
625	779	466
626	780	464
627	781	463
628	782	461
629	783	460
630	784	458
631	785	457
632	786	455
633	786	454
634	787	452
635	788	451
636	789	449
637	790	448
638	791	447
639	792	445
640	793	444
641	793	442
642	795	441
643	795	440
644	796	438
645	797	437
646	798	435
647	799	434
648	800	432
649	801	431
650	802	430
651	803	428
652	804	427
653	805	425
654	805	424
655	806	423
656	807	421
657	808	420
658	809	418
659	810	417
660	811	416
661	812	414
662	813	413
663	814	412
664	815	410
665	816	409
666	816	407
667	817	406
668	818	405
669	819	403
670	820	402
671	821	400
672	822	399
673	823	398
674	824	396
675	825	395
676	826	394
677	827	392
678	827	391
679	828	390
680	829	388
681	830	387
682	831	385
683	832	384
684	833	383
685	834	381
686	835	380
687	835	379
688	836	377
689	837	376
690	838	375
691	839	373
692	840	372
693	841	371
694	842	369
695	843	368
696	844	367
697	845	365
698	846	364
699	847	363
700	847	361
701	848	360
702	849	358
703	850	357
704	851	356
705	852	354
706	852	353
707	853	352
708	854	350
709	855	349
710	856	348
711	857	346
712	858	345
713	859	344
714	860	342
715	861	341
716	862	340
717	862	338
718	863	337
719	864	336
720	865	334
721	866	333
722	867	332
723	868	330
724	869	329
725	870	328
726	871	327
727	872	325
728	872	324
729	874	323
730	875	322
731	875	320
732	876	319
733	877	318
734	878	316
735	879	315
736	880	314
737	881	312
738	882	311
739	883	310
740	884	309
741	885	307
742	885	306
743	886	305
744	887	303
745	888	302
746	889	301
747	891	300
748	892	298
749	893	297
750	894	296
751	899	296
752	910	298
753	912	297
754	914	296
755	916	295
756	918	294
757	920	293
758	922	292
759	923	291
760	925	290
761	926	289
762	927	288
763	928	286
764	940	288
765	942	287
766	943	286
767	945	285
768	947	284
769	948	283
770	949	282
771	950	280
772	951	279
773	952	278
774	953	276
775	953	275
776	954	274
777	955	272
778	956	271
779	957	270
780	958	268
781	959	267
782	961	266
783	962	265
784	963	263
785	964	262
786	965	261
787	966	259
788	967	258
789	967	257
790	968	255
791	969	254
792	970	253
793	971	251
794	972	250
795	973	249
796	973	248
797	974	246
798	976	245
799	977	244
800	978	243
801	979	241
802	980	240
803	980	239
804	981	237
805	982	236
806	983	235
807	984	233
808	985	232
809	985	231
810	986	229
811	987	228
812	988	227
813	989	226
814	990	224
815	991	223
816	992	222
817	992	220
818	993	219
819	994	218
820	995	217
821	996	215
822	997	214
823	997	213
824	998	211
825	999	210
826	1000	209
827	1001	208
828	1002	206
829	1003	205
830	1004	204
831	1006	203
832	1006	201
833	1007	200
834	1008	199
835	1009	198
836	1010	196
837	1011	195
838	1012	194
839	1012	192
840	1013	191
841	1014	190
842	1015	189
843	1016	187
844	1017	186
845	1018	185
846	1019	184
847	1020	182
848	1021	181
849	1022	180
850	1022	179
851	1023	177
852	1024	176
853	1025	175
854	1026	174
855	1027	172
856	1028	171
857	1028	170
858	1029	169
859	1032	168
860	1034	166
861	1036	165
862	1037	164
863	1038	163
864	1039	162
865	1040	160
866	1041	159
867	1042	158
868	1043	157
869	1043	155
870	1044	154
871	1045	153
872	1046	152
873	1047	151
874	1048	149
875	1049	148
876	1050	147
877	1051	146
878	1052	144
879	1052	143
880	1053	142
881	1054	141
882	1055	139
883	1056	138
884	1057	137
885	1058	136
886	1059	134
887	1060	133
888	1060	132
889	1061	131
890	1062	129
891	1063	128
892	1064	127
893	1065	126
894	1066	125
895	1067	123
896	1068	122
897	1068	121
898	1069	120
899	1070	118
900	1071	117
901	1072	116
902	1073	115
903	1074	114
904	1075	112
905	1075	111
906	1076	110
907	1077	109
908	1078	107
909	1079	106
910	1080	105
911	1081	104
912	1082	103
913	1083	101
914	1084	100
915	1084	99
916	1085	98
917	1086	97
918	1087	95
919	1088	94
920	1089	93
921	1090	92
922	1090	91
923	1091	89
924	1092	88
925	1093	87
926	1094	86
927	1095	84
928	1096	83
929	1097	82
930	1097	81
931	1098	80
932	1099	78
933	1100	77
934	1101	76
935	1102	75
936	1102	74
937	1103	72
938	1104	71
939	1105	70
940	1106	69
941	1107	68
942	1108	66
943	1108	65
944	1109	64
945	1110	63
946	1111	62
947	1112	61
948	1113	59
949	1114	58
950	1115	57
951	1116	56
952	1117	55
953	1118	53
954	1119	52
955	1120	51
956	1121	50
957	1121	49
958	1122	48
959	1123	46
960	1124	45
961	1125	44
962	1126	43
963	1127	42
964	1128	40
965	1128	39
966	1129	38
967	1130	37
968	1131	36
969	1132	35
970	1133	33
971	1134	32
972	1134	31
973	1135	30
974	1136	29
975	1137	27
976	1138	26
977	1139	25
978	1140	24
979	1141	23
980	1142	22
981	1143	20
982	1144	19
983	1144	18
984	1145	17
985	1146	16
986	1147	15
987	1148	13
988	1149	12
989	1150	11
990	1150	10
991	1151	9
992	1152	8
993	1153	6
994	1154	5
995	1155	4
996	1156	3
997	1157	2
998	1157	1
999	1158	0
